description,amount_per_100g,amount_per_cup
Venison -  steak,1.2,1.62
Venison/deer jerky,1.8,2.52
Venison sausage,2.4,3.24
Moose,1.2,1.62
Bear,1.8,2.43
Caribou,1.4,1.89
Bison,1.3,1.755
Groundhog,0.0,0.0
Opossum,1.6,2.16
Squirrel,1.4,1.89
Beaver,1.6,2.16
Raccoon,1.7,2.295
Armadillo,1.4,1.89
Wild pig,1.4,1.89
Ostrich,3.5,4.725
Chicken -  canned -  meat only,2.3,4.715
Chicken nuggets -  NFS,7.0,9.8
Chicken nuggets -  from frozen,11.1,15.54
Chicken tenders or strips -  NFS,8.0,11.2
Turkey -  nuggets,4.1,5.74
Liver -  beef,3.9,4.875
Liver -  chicken,1.7,2.38
Liver -  paste or pate,0.0,0.0
Heart,0.5,0.725
Kidney,0.0,0.0
Brains,0.1,0.14
Tripe,0.0,0.0
Chitterlings,0.0,0.0
Hog maws,0.0,0.0
Gizzard,0.0,0.0
Salami -  NFS,0.0,0.0
Thuringer,1.3,1.82
Vienna sausage -  canned,1.6,2.416
Chicken salad spread,0.0,0.0
Ham salad spread,0.0,0.0
Fish -  raw,0.9,1.215
Fish -  NFS,9.3,12.555
Fish -  NS as to type -  fried,13.8,18.63
Fish -  NS as to type -  steamed,1.3,1.755
Fish -  canned,0.1,0.135
Fish -  smoked,0.1,0.135
Fish -  carp,4.2,5.67
Fish -  catfish -  NFS,14.6,19.71
Fish -  catfish -  grilled,4.6,6.21
Fish -  catfish -  fried,14.6,19.71
Fish -  catfish -  steamed,2.7,3.645
Fish -  cod -  NFS,13.0,17.55
Fish -  cod -  baked or broiled,4.0,5.4
Fish -  cod -  grilled,2.0,2.7
Fish -  cod -  fried,13.0,17.55
Fish -  cod -  steamed,0.0,0.0
Fish -  croaker,4.2,5.67
Fish -  eel,4.1,5.535
Fish -  flounder -  NFS,4.1,5.535
Fish -  flounder -  grilled,2.1,2.835
Fish -  flounder -  fried,13.1,17.685
Fish -  flounder -  steamed,0.1,0.135
Fish -  haddock -  NFS,13.1,17.685
Fish -  haddock -  grilled,2.1,2.835
Fish -  haddock -  fried,13.1,17.685
Fish -  haddock -  steamed,0.1,0.135
Fish -  halibut,4.1,5.535
Fish -  herring,4.2,5.67
Fish -  pickled,0.2,0.27
Fish -  mackerel -  NFS,4.1,5.535
Fish -  mackerel -  grilled,2.1,2.835
Fish -  mackerel -  fried,13.1,17.685
Fish -  mackerel -  canned,0.1,0.135
Fish -  mullet,4.2,5.67
Fish -  perch -  NFS,13.1,17.685
Fish -  perch -  baked or broiled,4.1,5.535
Fish -  perch -  grilled,2.1,2.835
Fish -  perch -  fried,13.1,17.685
Fish -  perch -  steamed,0.1,0.135
Fish -  pike,4.2,5.67
Fish -  pompano -  NFS,4.1,5.535
Fish -  pompano -  grilled,2.1,2.835
Fish -  pompano -  fried,13.1,17.685
Fish -  pompano -  steamed,0.1,0.135
Fish -  snapper,4.2,5.67
Fish -  salmon -  raw,0.5,0.675
Fish -  salmon -  NFS,4.6,6.21
Fish -  salmon -  baked or broiled,4.6,6.21
Fish -  salmon -  grilled,2.6,3.51
Fish -  salmon -  fried,13.4,18.09
Fish -  salmon -  steamed,0.6,0.81
Fish -  salmon -  canned,0.1,0.135
Fish -  salmon -  smoked,0.1,0.135
Fish -  bass -  NFS,4.1,5.535
Fish -  bass -  baked or broiled,4.1,5.535
Fish -  bass -  grilled,2.1,2.835
Fish -  bass -  fried,13.1,17.685
Fish -  bass -  steamed,0.1,0.135
Fish -  shark,4.2,5.67
Fish -  swordfish,4.2,5.67
Fish -  trout -  NFS,13.1,17.685
Fish -  trout -  baked or broiled,4.1,5.535
Fish -  trout -  grilled,2.1,2.835
Fish -  trout -  fried,13.1,17.685
Fish -  trout -  steamed,0.1,0.135
Fish -  tuna -  raw,0.1,0.135
Fish -  tuna -  NFS,0.2,0.27
Fish -  tuna -  cooked,4.1,5.535
Fish -  tuna -  canned,0.2,0.27
Fish -  whiting -  NFS,13.1,17.685
Fish -  whiting -  grilled,2.1,2.835
Fish -  whiting -  fried,13.1,17.685
Fish -  whiting -  steamed,0.1,0.135
Fish -  tilapia -  NFS,5.7,7.695
Fish -  tilapia -  grilled,3.8,5.13
Fish -  tilapia -  fried,14.1,19.035
Fish -  tilapia -  steamed,1.8,2.43
Octopus,13.1,17.685
Calamari -  cooked,4.0,5.4
Calamari -  fried,13.0,17.55
Turtle,5.8,7.83
Shellfish -  NFS,6.0,8.1
Abalone,34.2,46.17
Clams -  raw,0.2,0.45
Clams -  NFS,4.5,6.075
Clams -  baked or broiled,4.2,5.67
Clams -  fried,13.1,17.685
Clams -  steamed or boiled,0.3,0.405
Clams -  canned,0.2,0.45
Crab,0.3,0.405
Crab -  canned,0.3,0.405
Crayfish -  fried,13.1,17.685
Crayfish -  cooked,0.1,0.135
Lobster,0.0,0.0
Mussels,0.1,0.135
Oysters -  raw,1.0,2.25
Oysters -  baked or broiled,5.2,7.02
Oysters -  steamed,1.3,1.755
Oysters -  fried,13.8,18.63
Oysters -  canned,0.1,0.225
Scallops -  baked or broiled,4.0,5.4
Scallops -  grilled,2.0,2.7
Scallops -  steamed or boiled,0.0,0.0
Scallops -  fried,13.0,17.55
Shrimp -  NFS,6.0,8.1
Shrimp -  baked or broiled,4.3,5.805
Shrimp -  grilled,2.4,3.24
Shrimp -  steamed or boiled,0.4,0.54
Shrimp -  fried,13.2,17.82
Shrimp -  dried,0.0,0.0
Shrimp -  canned,0.0,0.0
Barbecue meat -  NFS,0.8,1.92
Beef with tomato-based sauce,1.9,4.731
Beef goulash,3.1,7.719
Beef burgundy,6.3,15.372
Chili con carne with beans,4.5,11.43
Chili con carne without beans,2.2,5.588
Sloppy joe -  no bun,2.6,6.5
Beef with gravy,1.2,2.928
Salisbury steak with gravy,1.7,4.148
Beef with cream or white sauce,2.5,6.4
Beef stroganoff,8.6,22.016
Creamed chipped or dried beef,7.2,17.712
Beef with mushroom sauce,5.0,12.8
Beef with soy-based sauce,23.6,57.584
Steak teriyaki,1.4,3.416
Beef curry,9.4,22.56
Beef curry with rice,5.6,11.2
Barbecue beef -  with sauce,1.6,3.84
Barbecue beef -  no sauce,1.6,2.16
Beef with sweet and sour sauce,9.6,24.192
Steak tartare,2.4,5.4
Ham or pork with gravy,0.2,0.488
Barbecue pork -  with sauce,0.5,1.2
Barbecue pork -  no sauce,0.0,0.0
Sweet and sour pork,27.8,62.828
Ham stroganoff,8.0,19.52
Sausage gravy,4.0,9.6
Pork with chili and tomatoes,5.0,11.8
Lamb or mutton with gravy,3.4,8.296
Veal with gravy,5.1,12.444
Veal scallopini,15.4,21.56
Veal with cream sauce,6.3,15.498
Veal with butter sauce,3.6,6.768
Veal parmigiana,5.4,11.286
Venison or deer with gravy,1.2,2.928
Chicken or turkey cacciatore,4.0,9.76
Spaghetti sauce with poultry,11.3,29.38
Chicken with gravy,0.2,0.488
Chicken or turkey fricassee,0.0,0.0
Turkey with gravy,0.2,0.488
Barbecue chicken,0.5,1.2
Chicken curry,9.1,21.84
Chicken curry with rice,5.4,10.8
Chicken with mole sauce,0.9,2.196
Chicken or turkey cordon bleu,24.7,34.58
Chicken or turkey parmigiana,4.7,9.823
Orange chicken,24.4,61.488
Sesame chicken,27.1,68.292
Fish timbale or mousse,0.9,1.575
Shrimp cocktail,1.4,3.5
Tuna with cream or white sauce,1.6,3.792
Seafood thermidor,1.8,4.5
Spaghetti sauce with seafood,11.3,29.38
Shrimp with lobster sauce,4.2,7.77
Sweet and sour shrimp,10.5,18.48
Shrimp scampi,45.1,112.75
Fish with tomato-based sauce,0.9,1.998
Fish curry,9.1,21.84
Fish curry with rice,5.5,11.0
Shrimp teriyaki,0.4,0.804
Ceviche,1.7,4.25
Bacalao guisado,4.5,11.25
Meat with tomato-based sauce,1.9,4.731
Spaghetti sauce with meat,11.6,30.16
Beef and potatoes -  no sauce,5.1,9.69
Beef -  roast -  hash,0.9,1.71
Beef and noodles -  no sauce,2.3,3.588
Beef goulash with noodles,3.9,9.711
Beef and noodles with gravy,2.2,5.478
Beef stroganoff with noodles,5.9,15.104
Beef and rice -  no sauce,3.8,7.448
Biryani with meat,6.2,12.152
Beef and rice with gravy,3.5,7.77
Beef and rice with cream sauce,2.6,6.448
Meat loaf made with beef,1.1,1.54
Meat loaf made with ham,5.8,8.12
Ham or pork with stuffing,7.3,14.6
Ham croquette,23.4,32.76
Ham and noodles -  no sauce,2.8,4.396
Ham or pork and rice -  no sauce,3.4,6.664
Lamb or mutton loaf,11.4,15.96
Chicken or turkey hash,13.1,24.89
Chicken or turkey tetrazzini,4.8,11.808
Biryani with chicken,5.5,10.78
Chicken or turkey souffle,0.7,1.113
Gefilte fish,0.1,0.25
Shrimp and noodles -  no sauce,4.3,6.751
Shrimp and noodles with gravy,3.6,8.064
Shrimp with crab stuffing,5.6,7.84
Imitation crab meat,0.4,0.54
Seafood souffle,0.7,1.113
Fish and rice with cream sauce,3.4,8.432
Hash -  NS as to type of meat,1.8,3.42
Shepherd's pie,3.9,7.8
Pot pie -  beef,7.8,15.6
Sweet and sour pork with rice,5.0,12.2
Pot pie -  chicken,8.3,16.6
Paella with seafood,3.0,7.2
Shrimp creole -  with rice,4.3,10.449
Bouillabaisse,2.3,5.75
Stew -  NFS,6.1,15.372
Paella -  NFS,2.6,6.24
Gumbo with rice,5.3,12.932
Jambalaya with meat and rice,4.2,10.248
Swiss steak,5.7,14.193
Beef and broccoli,62.2,134.974
Szechuan beef,51.3,111.321
Hunan beef,51.3,111.321
Kung Pao beef,14.9,24.138
Pepper steak,20.0,43.4
Beef salad,46.1,83.902
Seasoned shredded soup meat,4.2,5.586
Cabbage with ham hocks,52.8,105.6
Ham or pork salad,44.3,80.626
Greens with ham or pork,363.7,523.728
Kung Pao pork,14.1,22.842
Pork hash,14.2,26.98
Sausage and peppers -  no sauce,2.4,3.696
Chicken or turkey divan,38.8,91.568
General Tso chicken,38.2,55.772
Moo Goo Gai Pan,16.6,35.856
Kung pao chicken,13.6,22.032
Almond chicken,14.2,34.364
Crab salad,40.4,84.032
Lobster salad,38.8,70.616
Salmon salad,43.0,89.44
Shrimp salad,40.3,73.346
Seafood salad,39.8,82.784
Tuna salad with cheese,40.7,96.866
Tuna salad with egg,40.9,97.342
Lomi salmon,23.1,54.054
Shrimp creole -  no rice,6.2,15.252
Kung Pao shrimp,14.3,23.166
Gumbo -  no rice,5.8,14.152
Oxtail soup,10.1,24.644
Pho,7.0,17.08
Pepperpot soup,1.7,4.097
Menudo soup -  home recipe,1.6,3.856
Italian Wedding Soup,11.9,29.036
Sweet and sour soup,7.0,17.08
Hot and sour soup,1.1,2.684
Fish chowder,4.7,11.468
Clam chowder -  Manhattan,3.3,7.92
Lobster bisque,1.5,3.72
Lobster gumbo,8.7,21.228
Shrimp gumbo,8.7,21.228
Meat broth -  Puerto Rican style,0.0,0.0
Gravy -  poultry,0.6,1.44
Gravy -  beef,0.1,0.24
Gravy -  beef -  fat free,0.1,0.24
Gravy -  poultry -  fat free,0.6,1.44
Gravy -  made with soy sauce,0.1,0.24
Gravy -  NFS,0.1,0.24
Egg -  whole -  raw,0.3,0.735
Egg -  whole -  boiled or poached,0.3,0.405
Egg -  whole -  fried no added fat,0.3,0.405
Egg -  whole -  fried with oil,7.4,9.99
Egg -  whole -  fried with butter,0.7,0.945
Egg -  whole -  baked -  fat added,5.3,7.155
Egg -  white only -  raw,0.0,0.0
Egg -  white -  cooked -  fat added,5.0,6.75
Egg -  yolk only -  raw,0.7,1.715
Duck egg -  cooked,5.4,7.29
Egg -  creamed,2.8,3.78
Huevos rancheros,4.6,6.21
Egg foo yung -  NFS,23.5,41.125
Chicken egg foo yung,23.7,41.475
Pork egg foo yung,23.3,40.775
Shrimp egg foo yung,23.5,41.125
Beef egg foo yung,24.1,42.175
Egg drop soup,1.2,2.928
Beans -  NFS,10.3,19.055
White beans -  NFS,10.4,19.24
Black beans -  NFS,10.2,18.87
Black beans with meat,8.9,23.14
Fava beans -  cooked,9.8,18.13
Lima beans -  NFS,9.0,16.65
Lima beans -  from dried,9.0,16.65
Pink beans -  cooked,10.6,19.61
Pinto beans -  NFS,10.4,19.24
Pinto beans with meat,9.0,23.4
Kidney beans -  NFS,14.9,27.565
Kidney beans with meat,12.9,33.54
Peruvian beans -  from dried,10.4,19.24
Soybeans -  cooked,25.0,46.25
Mung beans -  cooked,9.6,17.76
Baked beans,0.4,1.04
Baked beans -  vegetarian,0.8,2.08
Beans and tomatoes -  fat added,8.6,22.36
Black bean salad,11.4,26.334
Refried beans,2.1,5.46
Refried beans with meat,1.9,4.94
Beans and franks,0.4,1.04
Pork and beans,0.4,1.04
Beans with meat -  NS as to type,9.0,23.4
Baked beans -  reduced sodium,0.8,2.08
Chili with beans -  without meat,4.6,11.638
Blackeyed peas -  NFS,8.7,16.095
Blackeyed peas -  from dried,8.7,16.095
Chickpeas -  NFS,10.8,19.98
Wasabi peas,50.3,60.36
Lentils -  NFS,8.7,16.095
Lentils -  from dried -  fat added,8.7,16.095
Lentils -  from canned,8.7,16.095
Dal,2.0,4.8
Bean chips,3.1,0.93
Sambar -  vegetable stew,7.7,19.096
Lentil curry,9.0,21.6
Lentil curry with rice,5.4,10.8
Soy nuts,50.4,47.88
Soy chips,11.9,3.57
Edamame -  cooked,28.1,44.96
Soybean curd cheese,4.6,10.35
Miso,29.3,80.575
Natto,23.1,40.656
Yogurt -  soy,3.5,8.575
Vermicelli -  made from soybeans,1.4,1.96
Frozen dessert -  non-dairy,0.7,1.155
Bean soup -  NFS,1.3,3.289
Soybean soup -  miso broth,3.3,7.92
Bean soup -  home recipe,8.5,20.995
Bean and ham soup -  home recipe,7.2,17.784
Split pea and ham soup,7.5,18.975
Split pea soup,0.2,0.5
Chicken -  meatless -  NFS,0.0,0.0
Meatball -  meatless,0.0,0.0
Veggie burger patty -  no bun,4.2,5.25
Pot pie -  no meat,7.8,15.6
Vegetarian stew,17.8,43.966
Nuts -  NFS,11.2,15.904
Almonds -  NFS,0.0,0.0
Almonds -  unroasted,0.0,0.0
Almonds -  salted,3.2,4.512
Almonds -  lightly salted,3.3,4.653
Almonds -  unsalted,3.3,4.653
Almonds -  flavored,3.2,4.512
Almonds -  honey roasted,10.8,15.228
Brazil nuts,0.0,0.0
Cashews -  NFS,34.7,45.11
Cashews -  unroasted,34.7,45.11
Cashews -  salted,36.6,47.58
Cashews -  lightly salted,36.8,47.84
Cashews -  unsalted,36.9,47.97
Cashews -  honey roasted,34.2,44.46
Chestnuts,7.8,11.154
Coconut -  fresh,0.2,0.17
Coconut -  packaged,0.0,0.0
Hazelnuts,14.2,19.17
Macadamia nuts,0.0,0.0
Mixed nuts -  NFS,11.2,15.904
Mixed nuts -  unroasted,13.4,19.028
Mixed nuts -  honey roasted,13.7,19.454
Peanuts -  boiled,0.0,0.0
Peanuts -  honey roasted,3.3,4.818
Pecans -  NFS,3.5,3.5
Pecans -  unroasted,3.5,3.5
Pecans -  salted,6.6,6.6
Pecans -  unsalted,6.7,6.7
Pecans -  honey roasted,13.2,13.2
Pine nuts,53.9,72.765
Walnuts -  honey roasted,12.6,15.12
Gravy -  vegetarian,4.9,11.76
Yogurt -  coconut milk,0.0,0.0
Trail mix -  NFS,7.6,10.64
Trail mix with nuts,9.6,13.44
Trail mix with nuts and fruit,7.6,10.64
Trail mix with chocolate,7.2,10.08
Sesame seeds,0.0,0.0
Flax seeds,4.3,7.224
Mixed seeds,3.2,4.64
Chia seeds,4.3,7.224
Bread -  white,0.2,0.08
Bread -  white -  toasted,0.2,0.08
Bread -  dough -  fried,9.4,13.16
Bread stuffing made with egg,12.4,21.08
Breadsticks -  hard -  NFS,2.2,1.012
Croutons,7.6,3.04
Breadsticks -  hard -  whole wheat,2.9,1.334
Bread -  gluten free,0.3,0.12
Bread -  gluten free -  toasted,0.3,0.12
Breadsticks -  hard -  gluten free,13.7,6.302
Hush puppy,3.4,5.168
Spoonbread,3.6,6.732
Cake or cupcake -  NFS,9.2,9.2
Cake -  angel food,0.1,0.05
Cake or cupcake -  apple,16.0,19.2
Cake or cupcake -  banana,15.9,19.08
Cake or cupcake -  Black Forest,7.0,8.4
Cake -  Boston cream pie,3.1,2.17
Cake or cupcake -  carrot,17.3,20.76
Cake or cupcake -  coconut,10.9,13.08
Cheesecake -  plain,3.8,6.84
Cheesecake -  fruit,3.4,6.12
Cheesecake -  chocolate,3.8,6.84
Cake or cupcake -  gluten free,3.6,3.6
Cake -  chocolate -  flourless,3.6,4.32
Cake -  cream,7.2,8.64
Cake -  fruit cake,1.5,1.8
Cake or cupcake -  gingerbread,3.9,3.9
Ice cream cake,6.2,8.556
Cake -  jelly roll,0.1,0.1
Cake or cupcake -  lemon,11.5,11.5
Cake or cupcake -  marble,6.3,6.3
Cake or cupcake -  peanut butter,10.2,10.2
Cake -  pound,1.7,1.7
Cake or cupcake -  pumpkin,17.5,21.0
Cake or cupcake -  red velvet,12.1,14.52
Cake or cupcake -  spice,17.7,17.7
Cake -  sponge,0.2,0.1
Cake or cupcake -  strawberry,11.1,11.1
Cake -  torte,8.1,9.72
Cake -  tres leche,0.6,0.72
Cake -  pineapple -  upside down,6.4,7.68
Cake -  strawberry shortcake,1.0,1.5
Cake or cupcake -  zucchini,16.4,19.68
Cookie -  batter or dough -  raw,24.1,60.25
Pie -  NFS,5.5,13.75
Pie -  apple,5.5,13.75
Pie -  berry,14.2,35.5
Pie -  blueberry,12.7,31.75
Pie -  cherry,5.9,14.75
Pie -  lemon,2.6,6.5
Pie -  key lime,3.7,9.25
Pie -  peach,6.0,15.0
Pie -  strawberry,3.9,9.75
Pie -  banana cream,2.6,6.5
Pie -  chocolate cream,2.6,6.5
Pie -  coconut cream,2.6,6.5
Pie -  custard,3.2,8.0
Pie -  peanut butter cream,5.8,14.5
Pie -  pineapple cream,2.5,6.25
Pie -  pumpkin,7.6,19.0
Pie -  sweet potato,2.6,6.5
Pie -  vanilla cream,2.6,6.5
Pie -  lemon meringue,2.6,6.5
Pie -  pecan,3.4,8.5
Pie -  oatmeal,3.2,8.0
Cobbler -  apple,2.6,6.5
Cobbler -  berry,14.2,35.5
Cobbler -  cherry,3.1,7.75
Cobbler -  peach,3.2,8.0
Crisp -  apple,1.4,3.5
Crisp -  berry,12.9,32.25
Crisp -  cherry,1.9,4.75
Crisp -  peach,2.0,5.0
Cheese pastry puffs,14.0,2.24
Doughnut -  NFS,10.3,6.18
Baby Toddler snack -  NFS,2.3,0.345
Baby Toddler cookie,7.6,4.56
Chips -  rice,6.5,1.95
Baby Toddler crackers,0.0,0.0
Baby Toddler puffs -  fruit,1.3,0.195
Baby Toddler puffs -  vegetable,1.3,0.195
Baby Toddler crunchies,12.4,1.86
Baby Toddler wheels,2.0,0.3
Corn nuts,9.3,8.835
Corn chips -  plain,6.2,2.79
Corn chips -  flavored,6.3,2.835
Corn chips -  plain (Fritos),6.3,2.835
Corn chips -  flavored (Fritos),6.3,2.835
Cheese flavored corn snacks,1.3,0.455
Tortilla chips -  plain,20.9,6.27
Tortilla chips -  flavored,1.3,0.39
Corn chips -  reduced sodium,10.2,4.59
Tortilla chips -  reduced sodium,18.0,5.4
Snack mix,7.3,4.38
Pita chips,1.2,0.72
Popcorn -  ready-to-eat -  NFS,1.4,0.196
Popcorn -  ready-to-eat -  plain,1.3,0.143
Popcorn -  ready-to-eat -  kettle,1.0,0.14
Popcorn -  caramel coated,12.4,4.34
Popcorn -  chocolate coated,11.4,3.99
Popcorn chips -  plain,19.5,5.85
Popcorn chips -  other flavors,19.5,5.85
Popcorn chips -  sweet flavors,16.8,5.04
Onion flavored rings,5.1,0.765
Shrimp chips,12.8,5.12
Pretzels -  NFS,2.8,1.12
Pretzels -  hard -  NFS,2.8,1.12
Pretzels -  hard -  plain -  salted,2.8,1.12
Pretzels -  hard -  flavored,3.8,1.52
Pretzels -  hard -  multigrain,2.8,1.12
Pretzel chips -  hard -  plain,2.7,1.08
Pretzel chips -  hard -  flavored,2.7,1.08
Pretzels -  hard -  coated -  NFS,11.1,9.546
Pretzels -  hard -  yogurt coated,4.1,3.526
Pretzels -  hard -  filled -  NFS,3.3,3.168
Pretzels -  hard -  cheese filled,3.3,3.168
Multigrain chips (Sun Chips),2.4,0.72
Snack mix -  plain (Chex Mix),14.7,8.82
Dumpling -  no meat,1.5,1.125
Noodles -  chow mein,6.3,3.528
Congee,0.0,0.0
Cereal -  ready-to-eat -  NFS,1.8,0.63
Cereal -  O's -  flavored,2.0,0.8
Cereal -  crunch,6.4,2.24
Cereal -  O's -  plain,1.9,0.57
Cereal -  chocolate puffs,2.4,0.84
Cereal -  cinnamon toast,6.5,2.6
Cereal -  chocolate crispy,2.2,0.88
Cereal -  corn squares,0.7,0.21
Cereal -  corn flakes -  plain,0.0,0.0
Cereal -  corn puffs,0.7,0.175
Cereal -  rice crispy -  plain,0.0,0.0
Cereal -  bran flakes -  plain,1.0,0.5
Cereal -  rice crispy -  flavored,0.0,0.0
